"","unique_name","bin_assignment","min_ma","max_ma","collection_no","paleolat2.x","paleolng2.x"
"104","Amblotherium sp.",26,145,157.3,12816,37.84,-53.28
"105","Amblotherium sp.",27,145,157.3,12816,37.84,-53.28
"106","Ctenacodon sp.",26,145,157.3,12816,37.84,-53.28
"107","Ctenacodon sp.",27,145,157.3,12816,37.84,-53.28
"108","Miccylotyrans sp.",26,145,157.3,12816,37.84,-53.28
"109","Miccylotyrans sp.",27,145,157.3,12816,37.84,-53.28
"110","Archaeotrigon sp.",26,145,157.3,12816,37.84,-53.28
"111","Archaeotrigon sp.",27,145,157.3,12816,37.84,-53.28
"112","Psalodon sp.",26,145,157.3,12816,37.84,-53.28
"113","Psalodon sp.",27,145,157.3,12816,37.84,-53.28
"114","Massetognathus sp.",13,237,242,13003,-49.89,-37.76
"115","Chiniquodon sp.",13,237,242,13003,-49.89,-37.76
"118","Dryolestes sp.",26,145,157.3,13212,37.85,-53.31
"119","Dryolestes sp.",27,145,157.3,13212,37.85,-53.31
"120","Therioherpeton sp.",14,208.5,237,13220,-38.96,-17.02
"121","Therioherpeton sp.",15,208.5,237,13220,-38.96,-17.02
"122","Prozostrodon sp.",14,208.5,237,13220,-38.96,-17.02
"123","Prozostrodon sp.",15,208.5,237,13220,-38.96,-17.02
"126","Adelobasileus sp.",14,208.5,228,13266,8,-41.5
"127","Adelobasileus sp.",15,208.5,228,13266,8,-41.5
"135","Massetognathus sp.",13,237,242,13271,-49.88,-37.77
"138","Kayentatherium sp.",18,182.7,199.3,13280,20.08,-53.76
"139","Kayentatherium sp.",19,182.7,199.3,13280,20.08,-53.76
"140","Asioryctes sp.",38,70.6,83.5,13776,39.74,91.35
"141","Asioryctes sp.",39,70.6,83.5,13776,39.74,91.35
"142","Nemegtbaatar sp.",38,70.6,83.5,13776,39.74,91.35
"143","Nemegtbaatar sp.",39,70.6,83.5,13776,39.74,91.35
"144","Chulsanbaatar sp.",38,70.6,83.5,13776,39.74,91.35
"145","Chulsanbaatar sp.",39,70.6,83.5,13776,39.74,91.35
"146","Catopsbaatar sp.",38,70.6,83.5,13776,39.74,91.35
"147","Catopsbaatar sp.",39,70.6,83.5,13776,39.74,91.35
"148","Barunlestes sp.",38,70.6,83.5,13776,39.74,91.35
"149","Barunlestes sp.",39,70.6,83.5,13776,39.74,91.35
"150","Deltatheridium sp.",38,70.6,83.5,13776,39.74,91.35
"151","Deltatheridium sp.",39,70.6,83.5,13776,39.74,91.35
"152","Kryptobaatar sp.",38,70.6,83.5,13777,39.28,90.16
"153","Kryptobaatar sp.",39,70.6,83.5,13777,39.28,90.16
"154","Catopsbaatar sp.",38,70.6,83.5,13777,39.28,90.16
"155","Catopsbaatar sp.",39,70.6,83.5,13777,39.28,90.16
"156","Catopsbaatar sp.",38,70.6,83.5,13777,39.28,90.16
"157","Catopsbaatar sp.",39,70.6,83.5,13777,39.28,90.16
"158","Sinobaatar sp.",31,125,129.4,13937,42.96,123.04
"159","Chaoyangodens sp.",31,125,129.4,13937,42.96,123.04
"160","Sinodelphys sp.",31,125,129.4,13937,42.96,123.04
"161","Eomaia sp.",31,125,129.4,13937,42.96,123.04
"162","Akidolestes sp.",31,125,129.4,13937,42.96,123.04
"163","Megazostrodon sp.",17,190.8,201.3,14228,-42.43,-0.77
"164","Megazostrodon sp.",18,190.8,201.3,14228,-42.43,-0.77
"165","Astroconodon sp.",32,109,122.46,14374,32.21,-50.71
"166","Astroconodon sp.",33,109,122.46,14374,32.21,-50.71
"167","Holoclemensia sp.",32,109,122.46,14375,31.43,-52.47
"168","Holoclemensia sp.",33,109,122.46,14375,31.43,-52.47
"169","Kermackia sp.",32,109,122.46,14375,31.43,-52.47
"170","Kermackia sp.",33,109,122.46,14375,31.43,-52.47
"171","Paracimexomys sp.",32,109,122.46,14375,31.43,-52.47
"172","Paracimexomys sp.",33,109,122.46,14375,31.43,-52.47
"173","Kermackia sp.",32,109,122.46,14375,31.43,-52.47
"174","Kermackia sp.",33,109,122.46,14375,31.43,-52.47
"175","Astroconodon sp.",32,109,122.46,14375,31.43,-52.47
"176","Astroconodon sp.",33,109,122.46,14375,31.43,-52.47
"177","Pappotherium sp.",32,109,122.46,14375,31.43,-52.47
"178","Pappotherium sp.",33,109,122.46,14375,31.43,-52.47
"179","Pappotherium sp.",32,109,122.46,14375,31.43,-52.47
"180","Pappotherium sp.",33,109,122.46,14375,31.43,-52.47
"181","Holoclemensia sp.",32,109,122.46,14375,31.43,-52.47
"182","Holoclemensia sp.",33,109,122.46,14375,31.43,-52.47
"183","Argillomys sp.",32,112.03,122.46,14376,33.11,-31.11
"184","Argillomys sp.",33,112.03,122.46,14376,33.11,-31.11
"185","Arundelconodon sp.",32,112.03,122.46,14376,33.11,-31.11
"186","Arundelconodon sp.",33,112.03,122.46,14376,33.11,-31.11
"187","Gobiconodon sp.",33,93.5,109,14377,44.77,-66.04
"188","Gobiconodon sp.",34,93.5,109,14377,44.77,-66.04
"189","Gobiconodon sp.",35,93.5,109,14377,44.77,-66.04
"190","Gobiconodon sp.",33,93.5,109,14378,44.66,-66.68
"191","Gobiconodon sp.",34,93.5,109,14378,44.66,-66.68
"192","Gobiconodon sp.",35,93.5,109,14378,44.66,-66.68
"199","Argaliatherium sp.",33,93.5,109,14380,44.15,-64.93
"200","Argaliatherium sp.",34,93.5,109,14380,44.15,-64.93
"201","Argaliatherium sp.",35,93.5,109,14380,44.15,-64.93
"202","Corviconodon sp.",33,93.5,109,14381,44.15,-64.93
"203","Corviconodon sp.",34,93.5,109,14381,44.15,-64.93
"204","Corviconodon sp.",35,93.5,109,14381,44.15,-64.93
"211","Montanalestes sp.",33,93.5,109,14382,44.71,-66.86
"212","Montanalestes sp.",34,93.5,109,14382,44.71,-66.86
"213","Montanalestes sp.",35,93.5,109,14382,44.71,-66.86
"214","Dakotamys sp.",34,93.5,99.6,14383,38.88,-76.51
"215","Dakotamys sp.",35,93.5,99.6,14383,38.88,-76.51
"216","Pariadens sp.",34,93.5,99.6,14383,38.88,-76.51
"217","Pariadens sp.",35,93.5,99.6,14383,38.88,-76.51
"218","Paracimexomys sp.",34,93.5,99.6,14383,38.88,-76.51
"219","Paracimexomys sp.",35,93.5,99.6,14383,38.88,-76.51
"220","Eoalphadon sp.",34,93.5,99.6,14383,38.88,-76.51
"221","Eoalphadon sp.",35,93.5,99.6,14383,38.88,-76.51
"222","Eoalphadon sp.",34,93.5,99.6,14383,38.88,-76.51
"223","Eoalphadon sp.",35,93.5,99.6,14383,38.88,-76.51
"228","Paracimexomys sp.",34,93.5,99.6,14383,38.88,-76.51
"229","Paracimexomys sp.",35,93.5,99.6,14383,38.88,-76.51
"230","Paracimexomys sp.",34,93.5,99.6,14383,38.88,-76.51
"231","Paracimexomys sp.",35,93.5,99.6,14383,38.88,-76.51
"232","Eoalphadon sp.",34,93.9,100.5,14384,39.33,-76.67
"233","Dakotadens sp.",34,93.9,100.5,14384,39.33,-76.67
"234","Dakotamys sp.",34,93.9,100.5,14384,39.33,-76.67
"235","Protalphadon sp.",34,93.5,99.6,14385,39.33,-76.67
"236","Protalphadon sp.",35,93.5,99.6,14385,39.33,-76.67
"237","Dakotamys sp.",34,93.5,99.6,14385,39.33,-76.67
"238","Dakotamys sp.",35,93.5,99.6,14385,39.33,-76.67
"239","Pariadens sp.",34,93.5,99.6,14385,39.33,-76.67
"240","Pariadens sp.",35,93.5,99.6,14385,39.33,-76.67
"243","Eoalphadon sp.",34,93.5,99.6,14385,39.33,-76.67
"244","Eoalphadon sp.",35,93.5,99.6,14385,39.33,-76.67
"247","Eoalphadon sp.",34,93.5,99.6,14385,39.33,-76.67
"248","Eoalphadon sp.",35,93.5,99.6,14385,39.33,-76.67
"249","Alphadon sp.",34,93.5,99.6,14385,39.33,-76.67
"250","Alphadon sp.",35,93.5,99.6,14385,39.33,-76.67
"251","Dakotamys sp.",34,93.5,99.6,14385,39.33,-76.67
"252","Dakotamys sp.",35,93.5,99.6,14385,39.33,-76.67
"253","Bryceomys sp.",34,93.5,99.6,14385,39.33,-76.67
"254","Bryceomys sp.",35,93.5,99.6,14385,39.33,-76.67
"255","Varalphadon sp.",34,93.5,99.6,14385,39.33,-76.67
"256","Varalphadon sp.",35,93.5,99.6,14385,39.33,-76.67
"257","Dakotadens sp.",34,93.5,99.6,14385,39.33,-76.67
"258","Dakotadens sp.",35,93.5,99.6,14385,39.33,-76.67
"261","Paracimexomys sp.",34,93.5,99.6,14385,39.33,-76.67
"262","Paracimexomys sp.",35,93.5,99.6,14385,39.33,-76.67
"265","Cimolodon sp.",34,93.5,99.6,14385,39.33,-76.67
"266","Cimolodon sp.",35,93.5,99.6,14385,39.33,-76.67
"267","Dakotadens sp.",34,93.5,99.6,14385,39.33,-76.67
"268","Dakotadens sp.",35,93.5,99.6,14385,39.33,-76.67
"271","Paracimexomys sp.",34,93.5,99.6,14385,39.33,-76.67
"272","Paracimexomys sp.",35,93.5,99.6,14385,39.33,-76.67
"273","Dakotadens sp.",34,93.9,100.5,14386,39.33,-76.67
"274","Pariadens sp.",34,93.5,99.6,14387,39.33,-76.67
"275","Pariadens sp.",35,93.5,99.6,14387,39.33,-76.67
"276","Dakotamys sp.",34,93.5,99.6,14387,39.33,-76.67
"277","Dakotamys sp.",35,93.5,99.6,14387,39.33,-76.67
"278","Paracimexomys sp.",32,109,122.46,14388,31.64,-52.38
"279","Paracimexomys sp.",33,109,122.46,14388,31.64,-52.38
"280","Oklatheridium sp.",32,109,122.46,14388,31.64,-52.38
"281","Oklatheridium sp.",33,109,122.46,14388,31.64,-52.38
"282","Oklatheridium sp.",32,109,122.46,14388,31.64,-52.38
"283","Oklatheridium sp.",33,109,122.46,14388,31.64,-52.38
"284","Spalacotheroides sp.",32,109,122.46,14388,31.64,-52.38
"285","Spalacotheroides sp.",33,109,122.46,14388,31.64,-52.38
"286","Adinodon sp.",32,109,122.46,14388,31.64,-52.38
"287","Adinodon sp.",33,109,122.46,14388,31.64,-52.38
"288","Holoclemensia sp.",32,109,122.46,14388,31.64,-52.38
"289","Holoclemensia sp.",33,109,122.46,14388,31.64,-52.38
"290","Oklatheridium sp.",32,109,122.46,14388,31.64,-52.38
"291","Oklatheridium sp.",33,109,122.46,14388,31.64,-52.38
"292","Pappotherium sp.",32,109,122.46,14388,31.64,-52.38
"293","Pappotherium sp.",33,109,122.46,14388,31.64,-52.38
"294","Kermackia sp.",32,109,122.46,14388,31.64,-52.38
"295","Kermackia sp.",33,109,122.46,14388,31.64,-52.38
"296","Pappotherium sp.",32,109,122.46,14388,31.64,-52.38
"297","Pappotherium sp.",33,109,122.46,14388,31.64,-52.38
"300","Astroconodon sp.",32,109,122.46,14388,31.64,-52.38
"301","Astroconodon sp.",33,109,122.46,14388,31.64,-52.38
"302","Paracimexomys sp.",36,83.6,89.8,14389,42.8,-79.97
"303","Paracimexomys sp.",37,83.6,89.8,14389,42.8,-79.97
"308","Symmetrodontoides sp.",36,83.6,89.8,14389,42.8,-79.97
"309","Symmetrodontoides sp.",37,83.6,89.8,14389,42.8,-79.97
"310","Cimolodon sp.",36,83.6,89.8,14389,42.8,-79.97
"311","Cimolodon sp.",37,83.6,89.8,14389,42.8,-79.97
"312","Astroconodon sp.",33,100.5,113,14390,31.8,-57.15
"313","Astroconodon sp.",33,100.5,113,14391,31.44,-57.32
"314","Holoclemensia sp.",32,109,122.46,14392,31.92,-50.52
"315","Holoclemensia sp.",33,109,122.46,14392,31.92,-50.52
"316","Atokatheridium sp.",32,109,122.46,14392,31.92,-50.52
"317","Atokatheridium sp.",33,109,122.46,14392,31.92,-50.52
"318","Oklatheridium sp.",32,109,122.46,14392,31.92,-50.52
"319","Oklatheridium sp.",33,109,122.46,14392,31.92,-50.52
"322","Oklatheridium sp.",32,109,122.46,14392,31.92,-50.52
"323","Oklatheridium sp.",33,109,122.46,14392,31.92,-50.52
"324","Pappotherium sp.",32,109,122.46,14392,31.92,-50.52
"325","Pappotherium sp.",33,109,122.46,14392,31.92,-50.52
"326","Oklatheridium sp.",32,109,122.46,14392,31.92,-50.52
"327","Oklatheridium sp.",33,109,122.46,14392,31.92,-50.52
"328","Paracimexomys sp.",32,109,122.46,14392,31.92,-50.52
"329","Paracimexomys sp.",33,109,122.46,14392,31.92,-50.52
"330","Kermackia sp.",32,109,122.46,14392,31.92,-50.52
"331","Kermackia sp.",33,109,122.46,14392,31.92,-50.52
"332","Pappotherium sp.",32,109,122.46,14392,31.92,-50.52
"333","Pappotherium sp.",33,109,122.46,14392,31.92,-50.52
"334","Astroconodon sp.",32,109,122.46,14392,31.92,-50.52
"335","Astroconodon sp.",33,109,122.46,14392,31.92,-50.52
"336","Varalphadon sp.",36,83.6,89.8,14393,42.41,-80.28
"337","Varalphadon sp.",37,83.6,89.8,14393,42.41,-80.28
"338","Paracimexomys sp.",34,93.5,99.6,14394,40.38,-75.76
"339","Paracimexomys sp.",35,93.5,99.6,14394,40.38,-75.76
"340","Cedaromys sp.",34,93.5,99.6,14395,40.38,-75.76
"341","Cedaromys sp.",35,93.5,99.6,14395,40.38,-75.76
"342","Paracimexomys sp.",34,93.5,99.6,14395,40.38,-75.76
"343","Paracimexomys sp.",35,93.5,99.6,14395,40.38,-75.76
"344","Sinbadelphys sp.",34,93.5,99.6,14395,40.38,-75.76
"345","Sinbadelphys sp.",35,93.5,99.6,14395,40.38,-75.76
"346","Cedaromys sp.",34,93.5,99.6,14395,40.38,-75.76
"347","Cedaromys sp.",35,93.5,99.6,14395,40.38,-75.76
"348","Bryceomys sp.",34,93.5,99.6,14395,40.38,-75.76
"349","Bryceomys sp.",35,93.5,99.6,14395,40.38,-75.76
"350","Paracimexomys sp.",34,93.5,99.6,14395,40.38,-75.76
"351","Paracimexomys sp.",35,93.5,99.6,14395,40.38,-75.76
"352","Paracimexomys sp.",34,93.5,99.6,14395,40.38,-75.76
"353","Paracimexomys sp.",35,93.5,99.6,14395,40.38,-75.76
"354","Dakotadens sp.",34,93.5,99.6,14396,40.1,-76.12
"355","Dakotadens sp.",35,93.5,99.6,14396,40.1,-76.12
"356","Kokopellia sp.",34,93.5,99.6,14396,40.1,-76.12
"357","Kokopellia sp.",35,93.5,99.6,14396,40.1,-76.12
"358","Sinbadelphys sp.",34,93.5,99.6,14396,40.1,-76.12
"359","Sinbadelphys sp.",35,93.5,99.6,14396,40.1,-76.12
"360","Spalacotheridium sp.",34,93.5,99.6,14396,40.1,-76.12
"361","Spalacotheridium sp.",35,93.5,99.6,14396,40.1,-76.12
"362","Culicolestes sp.",34,93.5,99.6,14396,40.1,-76.12
"363","Culicolestes sp.",35,93.5,99.6,14396,40.1,-76.12
"364","Corviconodon sp.",34,93.5,99.6,14396,40.1,-76.12
"365","Corviconodon sp.",35,93.5,99.6,14396,40.1,-76.12
"366","Jugulator sp.",34,93.5,99.6,14396,40.1,-76.12
"367","Jugulator sp.",35,93.5,99.6,14396,40.1,-76.12
"368","Cedaromys sp.",34,93.5,99.6,14396,40.1,-76.12
"369","Cedaromys sp.",35,93.5,99.6,14396,40.1,-76.12
"374","Astroconodon sp.",34,93.5,99.6,14396,40.1,-76.12
"375","Astroconodon sp.",35,93.5,99.6,14396,40.1,-76.12
"376","Cedaromys sp.",34,93.5,99.6,14396,40.1,-76.12
"377","Cedaromys sp.",35,93.5,99.6,14396,40.1,-76.12
"378","Spalacolestes sp.",34,93.5,99.6,14396,40.1,-76.12
"379","Spalacolestes sp.",35,93.5,99.6,14396,40.1,-76.12
"382","Bryceomys sp.",34,93.5,99.6,14396,40.1,-76.12
"383","Bryceomys sp.",35,93.5,99.6,14396,40.1,-76.12
"384","Ameribaatar sp.",34,93.5,99.6,14396,40.1,-76.12
"385","Ameribaatar sp.",35,93.5,99.6,14396,40.1,-76.12
"386","Janumys sp.",34,93.5,99.6,14396,40.1,-76.12
"387","Janumys sp.",35,93.5,99.6,14396,40.1,-76.12
"388","Paracimexomys sp.",34,93.5,99.6,14396,40.1,-76.12
"389","Paracimexomys sp.",35,93.5,99.6,14396,40.1,-76.12
"390","Mesodma sp.",34,93.5,99.6,14396,40.1,-76.12
"391","Mesodma sp.",35,93.5,99.6,14396,40.1,-76.12
"392","Janumys sp.",34,93.5,99.6,14396,40.1,-76.12
"393","Janumys sp.",35,93.5,99.6,14396,40.1,-76.12
"394","Culicolestes sp.",34,93.5,99.6,14397,40.38,-75.76
"395","Culicolestes sp.",35,93.5,99.6,14397,40.38,-75.76
"396","Jugulator sp.",34,93.5,99.6,14397,40.38,-75.76
"397","Jugulator sp.",35,93.5,99.6,14397,40.38,-75.76
"398","Cedaromys sp.",34,93.5,99.6,14397,40.38,-75.76
"399","Cedaromys sp.",35,93.5,99.6,14397,40.38,-75.76
"400","Corviconodon sp.",34,93.5,99.6,14397,40.38,-75.76
"401","Corviconodon sp.",35,93.5,99.6,14397,40.38,-75.76
"402","Dakotadens sp.",34,93.5,99.6,14397,40.38,-75.76
"403","Dakotadens sp.",35,93.5,99.6,14397,40.38,-75.76
"404","Paracimexomys sp.",34,93.5,99.6,14398,40.1,-76.12
"405","Paracimexomys sp.",35,93.5,99.6,14398,40.1,-76.12
"406","Adelodelphys sp.",34,93.5,99.6,14398,40.1,-76.12
"407","Adelodelphys sp.",35,93.5,99.6,14398,40.1,-76.12
"408","Cedaromys sp.",34,93.5,99.6,14398,40.1,-76.12
"409","Cedaromys sp.",35,93.5,99.6,14398,40.1,-76.12
"410","Spalacotheridium sp.",34,93.5,99.6,14398,40.1,-76.12
"411","Spalacotheridium sp.",35,93.5,99.6,14398,40.1,-76.12
"414","Culicolestes sp.",34,93.5,99.6,14398,40.1,-76.12
"415","Culicolestes sp.",35,93.5,99.6,14398,40.1,-76.12
"416","Janumys sp.",34,93.5,99.6,14398,40.1,-76.12
"417","Janumys sp.",35,93.5,99.6,14398,40.1,-76.12
"418","Bryceomys sp.",34,93.5,99.6,14398,40.1,-76.12
"419","Bryceomys sp.",35,93.5,99.6,14398,40.1,-76.12
"420","Dakotadens sp.",34,93.5,99.6,14398,40.1,-76.12
"421","Dakotadens sp.",35,93.5,99.6,14398,40.1,-76.12
"422","Corviconodon sp.",34,93.5,99.6,14398,40.1,-76.12
"423","Corviconodon sp.",35,93.5,99.6,14398,40.1,-76.12
"424","Spalacolestes sp.",34,93.5,99.6,14398,40.1,-76.12
"425","Spalacolestes sp.",35,93.5,99.6,14398,40.1,-76.12
"426","Cedaromys sp.",34,93.5,99.6,14398,40.1,-76.12
"427","Cedaromys sp.",35,93.5,99.6,14398,40.1,-76.12
"430","Ameribaatar sp.",34,93.5,99.6,14398,40.1,-76.12
"431","Ameribaatar sp.",35,93.5,99.6,14398,40.1,-76.12
"432","Jugulator sp.",34,93.5,99.6,14398,40.1,-76.12
"433","Jugulator sp.",35,93.5,99.6,14398,40.1,-76.12
"434","Sinbadelphys sp.",34,93.5,99.6,14398,40.1,-76.12
"435","Sinbadelphys sp.",35,93.5,99.6,14398,40.1,-76.12
"436","Paracimexomys sp.",34,93.5,99.6,14399,40,-75.56
"437","Paracimexomys sp.",35,93.5,99.6,14399,40,-75.56
"438","Cedaromys sp.",34,93.5,99.6,14399,40,-75.56
"439","Cedaromys sp.",35,93.5,99.6,14399,40,-75.56
"440","Jugulator sp.",34,93.5,99.6,14399,40,-75.56
"441","Jugulator sp.",35,93.5,99.6,14399,40,-75.56
"442","Corviconodon sp.",34,93.5,99.6,14399,40,-75.56
"443","Corviconodon sp.",35,93.5,99.6,14399,40,-75.56
"444","Adelodelphys sp.",34,93.5,99.6,14399,40,-75.56
"445","Adelodelphys sp.",35,93.5,99.6,14399,40,-75.56
"446","Astroconodon sp.",34,93.5,99.6,14399,40,-75.56
"447","Astroconodon sp.",35,93.5,99.6,14399,40,-75.56
"448","Bryceomys sp.",34,93.5,99.6,14399,40,-75.56
"449","Bryceomys sp.",35,93.5,99.6,14399,40,-75.56
"450","Sinbadelphys sp.",34,93.5,99.6,14399,40,-75.56
"451","Sinbadelphys sp.",35,93.5,99.6,14399,40,-75.56
"452","Spalacotheridium sp.",34,93.5,99.6,14399,40,-75.56
"453","Spalacotheridium sp.",35,93.5,99.6,14399,40,-75.56
"454","Paracimexomys sp.",34,93.5,99.6,14399,40,-75.56
"455","Paracimexomys sp.",35,93.5,99.6,14399,40,-75.56
"456","Spalacolestes sp.",34,93.5,99.6,14399,40,-75.56
"457","Spalacolestes sp.",35,93.5,99.6,14399,40,-75.56
"458","Culicolestes sp.",34,93.5,99.6,14399,40,-75.56
"459","Culicolestes sp.",35,93.5,99.6,14399,40,-75.56
"460","Cedaromys sp.",34,93.5,99.6,14399,40,-75.56
"461","Cedaromys sp.",35,93.5,99.6,14399,40,-75.56
"462","Culicolestes sp.",34,93.5,99.6,14399,40,-75.56
"463","Culicolestes sp.",35,93.5,99.6,14399,40,-75.56
"464","Dakotadens sp.",34,93.5,99.6,14399,40,-75.56
"465","Dakotadens sp.",35,93.5,99.6,14399,40,-75.56
"466","Spalacotheridium sp.",34,93.5,99.6,14400,40.36,-75.81
"467","Spalacotheridium sp.",35,93.5,99.6,14400,40.36,-75.81
"468","Spalacolestes sp.",34,93.5,99.6,14400,40.36,-75.81
"469","Spalacolestes sp.",35,93.5,99.6,14400,40.36,-75.81
"470","Corviconodon sp.",34,93.5,99.6,14400,40.36,-75.81
